Name,Cuisines,Cost,avg_rating,review_count,tags,Collections,Timings,Links,Popular Dishes
Kritunga Restaurant,"Andhra, Biryani, Hyderabadi, North Indian",500.0,3.47,100.0,"Andhra, Biryani, Hyderabadi, North Indian  ",,"12 Noon to 4 PM, 7 PM to 11 PM",https://www.zomato.com/hyderabad/kritunga-restaurant-gachibowli,
The Glass Onion,"North Indian, Continental, Italian, Asian",1200.0,3.83,100.0,"North Indian, Continental, Italian, Asian Fancy and Fun ",Fancy and Fun,"12noon to 11pm (Mon, Tue, Wed, Thu, Sun), 12noon to 12midnight (Fri-Sat)",https://www.zomato.com/hyderabad/the-glass-onion-gachibowli,
Deli 9 Bistro,"Cafe, Continental, Desserts",700.0,3.82,100.0,"Cafe, Continental, Desserts  ",,12 Noon to 10:30 PM,https://www.zomato.com/hyderabad/deli-9-bistro-gachibowli,
Frio Bistro,"European, Italian, Continental, Spanish",1200.0,3.61,100.0,"European, Italian, Continental, Spanish  ",,12noon to 11pm (Mon-Sun),https://www.zomato.com/hyderabad/frio-bistro-gachibowli,
Karachi Bakery,"Bakery, Fast Food, Desserts",500.0,3.8,100.0,"Bakery, Fast Food, Desserts  ",,10 AM to 10 PM,https://www.zomato.com/hyderabad/karachi-bakery-gachibowli,
Karachi Cafe,"Cafe, Desserts, Fast Food",600.0,3.72,100.0,"Cafe, Desserts, Fast Food  ",,10 AM to 10 PM,https://www.zomato.com/hyderabad/karachi-cafe-gachibowli,
The Foodie Monster Kitchen,"American, Wraps, Desserts",500.0,3.58,100.0,"American, Wraps, Desserts Great Breakfasts, Late Night Restaurants, Best shawarmas ","Great Breakfasts, Late Night Restaurants, Best shawarmas",7 AM to 1 AM,https://www.zomato.com/hyderabad/the-foodie-monster-kitchen-gachibowli,
La La Land - Bar & Kitchen,"Finger Food, North Indian, Kebab, Chinese",1000.0,3.19,100.0,"Finger Food, North Indian, Kebab, Chinese Great Buffets, Trending This Week ","Great Buffets, Trending This Week",12 Noon to 11:30 PM,https://www.zomato.com/hyderabad/la-la-land-bar-kitchen-gachibowli,
Owm Nom Nom,"Chinese, Biryani, Andhra, North Indian",900.0,3.29,100.0,"Chinese, Biryani, Andhra, North Indian  ",,12Noon to 11:30PM (Mon-Sun),https://www.zomato.com/hyderabad/owm-nom-nom-gachibowli,
Ulavacharu,"Andhra, North Indian, Chinese",1400.0,3.22,100.0,"Andhra, North Indian, Chinese Function Venues, Regional Favorites ","Function Venues, Regional Favorites",12 Noon to 11:30 PM,https://www.zomato.com/hyderabad/ulavacharu-gachibowli,
Shanghai Chef 2,"Chinese, Thai, Indonesian, Asian",800.0,3.06,100.0,"Chinese, Thai, Indonesian, Asian Pan-Asian Delicacies ",Pan-Asian Delicacies,12 Noon to 11 PM,https://www.zomato.com/hyderabad/shanghai-chef-2-gachibowli,
Udipi's Upahar,"South Indian, North Indian, Chinese",500.0,4.03,100.0,"South Indian, North Indian, Chinese  ",,6 AM to 10:30 PM,https://www.zomato.com/hyderabad/udipis-upahar-gachibowli,
Mathura Vilas,"South Indian, North Indian, Chinese",500.0,2.82,100.0,"South Indian, North Indian, Chinese Veggie Friendly, Terrific Thalis ","Veggie Friendly, Terrific Thalis","11:30 AM to 3:30 PM, 6:45 PM to 11:30 PM",https://www.zomato.com/hyderabad/mathura-vilas-gachibowli,
Gal Punjab Di,"North Indian, Continental",800.0,3.61,100.0,"North Indian, Continental  ",,"11:55 AM to 4 PM, 7 PM to 11:15 PM",https://www.zomato.com/hyderabad/gal-punjab-di-gachibowli,
Hitech Bawarchi Food Zone,"Biryani, North Indian, Chinese",500.0,3.05,100.0,"Biryani, North Indian, Chinese  ",,12 Noon to 11 PM,https://www.zomato.com/hyderabad/hitech-bawarchi-food-zone-gachibowli,
Biryanis And More,"North Indian, Biryani, Chinese",500.0,3.74,100.0,"North Indian, Biryani, Chinese  ",,11 AM to 11 PM,https://www.zomato.com/hyderabad/biryanis-and-more-gachibowli,
Diners Pavilion,"Chinese, Continental, Italian",1200.0,3.32,100.0,"Chinese, Continental, Italian Great Buffets, Live Sports Screenings ","Great Buffets, Live Sports Screenings","12noon to 4:30pm, 6:30pm to 11:30pm (Mon, Tue, Wed, Fri, Sat), Closed (Thu),12noon to 12midnight (Sun)",https://www.zomato.com/hyderabad/diners-pavilion-gachibowli,
Asian Meal Box,Asian,200.0,2.58,100.0,Asian  ,,"12noon to 12midnight (Mon, Tue, Wed, Thu, Sun), 12noon to 1am (Fri-Sat)",https://www.zomato.com/hyderabad/asian-meal-box-gachibowli,
Cafe Eclat,"Cafe, Bakery",700.0,3.59,100.0,"Cafe, Bakery Sneak Peek Hyderabad ",Sneak Peek Hyderabad,8 AM to 11:30 PM,https://www.zomato.com/hyderabad/cafe-eclat-gachibowli,
Feast - Sheraton Hyderabad Hotel,"Modern Indian, Asian, Continental, Italian",2500.0,4.22,100.0,"Modern Indian, Asian, Continental, Italian Sunday Brunches, Great Breakfasts, Function Venues, Ramzan Mubarak ","Sunday Brunches, Great Breakfasts, Function Venues, Ramzan Mubarak","6:30am to 10:30am, 12:30pm to 3pm, 7pm to 11pm (Mon),6:30am to 10:30am, 12:30pm to 3pm, 7:30pm to 11pm (Tue-Sat),6:30am to 10:30am, 12:30pm to 3:30pm, 7pm to 11pm (Sun)",https://www.zomato.com/hyderabad/feast-sheraton-hyderabad-hotel-gachibowli,
Being Hungry,"North Indian, Chinese",450.0,3.66,100.0,"North Indian, Chinese  ",,"12 Noon to 3 PM, 7 PM to 11:30 PM",https://www.zomato.com/hyderabad/being-hungry-gachibowli,
Tempteys,"Desserts, Beverages",350.0,3.85,100.0,"Desserts, Beverages Best Milkshakes ",Best Milkshakes,11:30 AM to 1 AM,https://www.zomato.com/hyderabad/tempteys-gachibowli,
KS Bakers,"Bakery, Desserts, Fast Food",200.0,3.96,100.0,"Bakery, Desserts, Fast Food  ",,9 AM to 10 PM,https://www.zomato.com/hyderabad/ks-bakers-gachibowli,
PourHouse7,"North Indian, Continental, Chinese, Italian",1200.0,3.86,100.0,"North Indian, Continental, Chinese, Italian Happy Hours, Top Drinking Destinations, Corporate Favorites ","Happy Hours, Top Drinking Destinations, Corporate Favorites","12 Noon to 12 Midnight (Mon-Thu, Sun), 12 Noon to 1 AM (Fri-Sat)",https://www.zomato.com/hyderabad/pourhouse7-gachibowli,
